"id","sales"
0,12.457631490113
1,14.152349907104
2,14.5917859076587
3,14.9744435493357
4,17.0753236745633
5,18.1249984434085
6,18.6468958421924
7,12.457631490113
8,14.152349907104
9,14.5917859076587
10,14.9744435493357
11,17.0753236745633
12,18.1249984434085
13,18.6468958421924
14,12.457631490113
15,14.152349907104
16,14.5917859076587
17,14.9744435493357
18,17.0753236745633
19,18.1249984434085
20,18.6468958421924
21,12.457631490113
22,14.152349907104
23,14.5917859076587
24,14.9744435493357
25,17.0753236745633
26,18.1249984434085
27,18.6468958421924
28,12.457631490113
29,14.152349907104
30,14.5917859076587
31,16.5770622919166
32,18.2831165716399
33,19.9388340885347
34,20.6294866996355
35,13.1044019255967
36,15.6990151797366
37,16.2139269779445
38,16.5770622919166
39,18.2831165716399
40,19.9388340885347
41,20.6294866996355
42,13.1044019255967
43,15.6990151797366
44,16.2139269779445
45,16.5770622919166
46,18.2831165716399
47,19.9388340885347
48,20.6294866996355
49,13.1044019255967
50,15.6990151797366
51,16.2139269779445
52,16.5770622919166
53,18.2831165716399
54,19.9388340885347
55,20.6294866996355
56,13.1044019255967
57,15.6990151797366
58,16.2139269779445
59,19.3595119862508
60,21.3521523286509
61,23.2617563682043
62,23.8263215603989
63,15.5706147621241
64,18.4979318595134
65,19.2173297555791
66,19.3595119862508
67,21.3521523286509
68,23.2617563682043
69,23.8263215603989
70,15.5706147621241
71,18.4979318595134
72,19.2173297555791
73,19.3595119862508
74,21.3521523286509
75,23.2617563682043
76,23.8263215603989
77,15.5706147621241
78,18.4979318595134
79,19.2173297555791
80,19.3595119862508
81,21.3521523286509
82,23.2617563682043
83,23.8263215603989
84,15.5706147621241
85,18.4979318595134
86,19.2173297555791
87,19.3595119862508
88,21.3521523286509
89,23.2617563682043
90,18.6182623723098
91,20.5068232765157
92,20.4100349489421
93,22.0962013311371
94,24.8047600478404
95,25.7997446705226
96,26.1999499747557
97,18.6182623723098
98,20.5068232765157
99,20.4100349489421
